AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT
20201104,SCD,2,LATFCALFS,542424UC8,,1000000,116.937,1169370,1169370,1169370,0.216892,-49012.86,,23611.11,23611.11,23611.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,542424UC8,FF000F19BC7,US542424UC84,,,LONTRN,,,,,1139660,1139660,1139660,1139660,1139660,1139660,0,,BBG009L288Z8,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,542433WN3,,2420000,109.606,2652465.2,2652465.2,2652465.2,0.491972,-4535.03,,18956.67,18956.67,18956.67,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,542433WN3,FF000FC76D4,US542433WN39,,,LONSCD,,,,,2547292,2547292,2547292,2547292,2547292,2547292,0,,BBG00PZDGWW4,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,5444357P9,,1000000,114.325,1143250,1143250,1143250,0.212047,-6410.55,,23611.11,23611.11,23611.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,5444357P9,FF000F27729,US5444357P94,,,LOSAPT,,,,,1111540,1111540,1111540,1111540,1111540,1111540,0,,BBG00BCR0YM3,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445CC1,,1000000,114.071,1140710,1140710,1140710,0.211576,-5246.68,,23611.11,23611.11,23611.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445CC1,FF000F5C233,US544445CC12,,,LOSAPT,,,,,1096690,1096690,1096690,1096690,1096690,1096690,0,,BBG00FQ9WD86,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445CZ0,,2000000,115.763,2315260,2315260,2315260,0.429428,-6001.07,,47222.22,47222.22,47222.22,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445CZ0,FF000F76250,US544445CZ07,,,LOSAPT,,,,,2163820,2163820,2163820,2163820,2163820,2163820,0,,BBG00H2LZ3G1,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445ET2,,2000000,119.2,2384000,2384000,2384000,0.442178,-9525.62,,49583.33,49583.33,49583.33,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445ET2,FF000F935D3,US544445ET29,,,LOSAPT,,,,,2300840,2300840,2300840,2300840,2300840,2300840,0,,BBG00K6RZVQ4,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445GX1,,1000000,120.557,1205570,1205570,1205570,0.223606,-7108.14,,23611.11,23611.11,23611.11,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445GX1,FF000FAB13D,US544445GX13,,,LOSAPT,,,,,1174910,1174910,1174910,1174910,1174910,1174910,0,,BBG00MFP0WG1,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445NU9,,2090000,120.266,2513559.4,2513559.4,2513559.4,0.466209,-9806.44,,49347.22,49347.22,49347.22,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445NU9,FF000FD7127,US544445NU90,,,LOSAPT,,,,,2535880.6,2535880.6,2535880.6,2535880.6,2535880.6,2535880.6,0,,BBG00R0Z6YN6,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544445RG6,,1750000,112.289,1965057.5,1965057.5,1965057.5,0.364474,280.6,,13222.22,13222.22,13222.22,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544445RG6,FF000FF34F9,US544445RG60,,,LOSAPT,,,,,2001107.5,2001107.5,2001107.5,2001107.5,2001107.5,2001107.5,0,,BBG00WVLXS73,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,5444952R4,,1500000,124.268,1864020,1864020,1864020,0.345734,-25687.87,,27125,27125,27125,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,5444952R4,FF000F660F8,US5444952R42,,,LOSUTL,,,,,1741905,1741905,1741905,1741905,1741905,1741905,0,,BBG00G6D5JL9,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,5444956V1,,2000000,127.119,2542380,2542380,2542380,0.471554,-2798.95,,36166.67,36166.67,36166.67,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,5444956V1,FF000FB10F9,US5444956V18,,,LOSUTL,,,,,2444130,2444130,2444130,2444130,2444130,2444130,0,,BBG00N369QC2,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544552WH1,,1000000,112.859,1128590,1128590,1128590,0.209328,-21184.74,,13055.56,13055.56,13055.56,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544552WH1,FF000EF303D,US544552WH12,,,LOSTRN,,,,,1122450,1122450,1122450,1122450,1122450,1122450,0,,BBG00731M5D8,,,,0,0,0,0,,0,0,0
20201104,SCD,2,LATFCALFS,544647BX7,,2000000,115.892,2317840,2317840,2317840,0.429907,-1752.85,,27555.56,27555.56,27555.56,CUSIP,,1,0.01,N,,N,USD,3,USD,3,USD,3,N,LATFCALFS,LATFCALFS,,,Y,20201105,USD,USD,,,USD,,,N,,,,,SGD,Straight Debt,MUN,Municipal,SBD,Bond,,,,544647BX7,FF000FE3895,US544647BX71,,,LOSSCD,,,,,2209180,2209180,2209180,2209180,2209180,2209180,0,,BBG00TFX5Q31,,,,0,0,0,0,,0,0,0
