AsOfDate,DataSource,Nsp_Account_Id,Account_Symbol,Src_Sec_Id,sds_id,Units,Market_Price,Market_Value_Amt_Func,Market_Value_Amt_Rpt,Market_Value_Amt_Lcl,WeightFunc,Amort_Value,Src_Ticker_Symbol,AccruedIncome_Func,AccruedIncome_Rpt,AccruedIncome_Lcl,SecIdtype,SecClassId,Contract_size,Trading_Units,Custom_Sec_Ind,Amort_Price,Reconciled_Flg,Func_Currency_Cd,Func_Currency_Id,Src_MarketValue_Local_Currency_Cd,Src_MarketValue_Local_Currency_Id,Src_Income_Local_Currency_Cd,Src_Income_local_Currency_Id,Short_Term_Flg,Src_Account_Nbr,Dup_Account_Symbol,Major_Issue_Cd,Minor_Issue_Cd,Is_Active,Valid_Start_Dt,Originating_Inc_Curr_Cd,Originating_Principal_Curr_Cd,ISSUE_TYPE_CD,SCREEN_GRP_CD,Src_Functional_Currency_Cd,Src_Futures_GainLoss_Amt_Func,Src_Futures_GainLoss_Amt_Rpt,Swap_Ind,Primary_Spread,Primary_Spread_Type,Effective_Spread,Effective_Spread_Type,Sec_class_Lvl1_cd,Sec_class_Lvl1,Sec_class_Lvl2_cd,Sec_class_Lvl2,Sec_class_Lvl3_cd,Sec_class_Lvl3,SRC_LIN,SRC_LOANXID,CINS,CUSIP,IDBBUNIQUE,ISIN,SEDOL1,SEDOL2,TICKER,EXCHANGE_CD,PARAMOUNT_FUNC,PARAMOUNT_RPT,TKR_AND_EXCH_CD,BookValue_Func,BookValue_Rpt,BookValue_Lcl,Cost_Func,Cost_Rpt,Cost_Lcl,OPS_Notional_Amt,OPS_Notional_Amt_Curr,IDBBGLOBAL,EXPOSURE_FUNC,EXPOSURE_LCL,EXPOSURE_RPT,BALOFFBALVAL_FUNC,BALOFFBALVAL_LCL,BALOFFBALVAL_RPT,BANK_LOAN_OUTSTANDING,SRC_OSI_ID,NET_VM_FUNC,NET_VM_LCL,NET_VM_RPT,CLIENT_SRC_SEC_ID
20201023,SST,11,AFFIL,370334104,,697200,61.78,43073016,43073016,43073016,,36632782,GIS,357306,357306,357306,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,6440234,6440234,N,,,,,,,,,,,,,,,,,,,,,,,,36632782,36632782,36632782,36632782,36632782,36632782,0,,,,,,,,,,,0,0,0,370334104
20201023,SST,11,AFFIL,437076102,,508000,283,143764000,143764000,143764000,,90237703.94,HD,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,53526296.06,53526296.06,N,,,,,,,,,,,,,,,,,,,,,,,,90237703.94,90237703.94,90237703.94,90237703.94,90237703.94,90237703.94,0,,,,,,,,,,,0,0,0,437076102
20201023,SST,11,AFFIL,438516106,,584400,175.54,102585576,102585576,102585576,,101181270.3,HON,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,1404305.72,1404305.72,N,,,,,,,,,,,,,,,,,,,,,,,,101181270.3,101181270.3,101181270.3,101181270.3,101181270.3,101181270.3,0,,,,,,,,,,,0,0,0,438516106
20201023,SST,11,AFFIL,452308109,,393600,206.7,81357120,81357120,81357120,,68976500.14,ITW,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,12380619.86,12380619.86,N,,,,,,,,,,,,,,,,,,,,,,,,68976500.14,68976500.14,68976500.14,68976500.14,68976500.14,68976500.14,0,,,,,,,,,,,0,0,0,452308109
20201023,SST,11,AFFIL,46625H100,,1032842,103.81,107219328,107219328,107219328,,59212540.07,JPM,936487.8,936487.8,936487.8,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,48006787.95,48006787.95,N,,,,,,,,,,,,,,,,,,,,,,,,59212540.07,59212540.07,59212540.07,59212540.07,59212540.07,59212540.07,0,,,,,,,,,,,0,0,0,46625H100
20201023,SST,11,AFFIL,478160104,,510700,145.24,74174068,74174068,74174068,,70821450.03,JNJ,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,3352617.97,3352617.97,N,,,,,,,,,,,,,,,,,,,,,,,,70821450.03,70821450.03,70821450.03,70821450.03,70821450.03,70821450.03,0,,,,,,,,,,,0,0,0,478160104
20201023,SST,11,AFFIL,512807108,,242200,353.92,85719424,85719424,85719424,,56131419.96,LRCX,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,29588004.04,29588004.04,N,,,,,,,,,,,,,,,,,,,,,,,,56131419.96,56131419.96,56131419.96,56131419.96,56131419.96,56131419.96,0,,,,,,,,,,,0,0,0,512807108
20201023,SST,11,AFFIL,521865204,,575400,134.51,77397054,77397054,77397054,,66818469.92,LEA,0,0,0,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,10578584.08,10578584.08,N,,,,,,,,,,,,,,,,,,,,,,,,66818469.92,66818469.92,66818469.92,66818469.92,66818469.92,66818469.92,0,,,,,,,,,,,0,0,0,521865204
20201023,SST,11,AFFIL,548661107,,560000,172.14,96398400,96398400,96398400,,68744541.96,LOW,352620,352620,352620,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,27653858.04,27653858.04,N,,,,,,,,,,,,,,,,,,,,,,,,68744541.96,68744541.96,68744541.96,68744541.96,68744541.96,68744541.96,0,,,,,,,,,,,0,0,0,548661107
20201023,SST,11,AFFIL,574599106,,1166400,54.76,63872064,63872064,63872064,,60043603.16,MAS,134176,134176,134176,,,1,1,,,N,USD,3,USD,3,USD,3,N,AFFIL,AFFIL,030,030,Y,20201116,USD,USD,,,USD,3828460.84,3828460.84,N,,,,,,,,,,,,,,,,,,,,,,,,60043603.16,60043603.16,60043603.16,60043603.16,60043603.16,60043603.16,0,,,,,,,,,,,0,0,0,574599106
